district_name,,available_electric_bikes,available_mechanical_bikes,available_bikes,available_docks,status,last_update
Bobigny,50%,6.0,2.0,17.0,6.0,1.0,2023-05-31 09:12:49
Bobigny,75%,13.0,10.0,24.0,19.0,1.0,2023-06-02 21:08:18.500000
Bobigny,max,27.0,20.0,30.0,29.0,1.0,2023-06-03 21:35:37
Bobigny,std,7.753580108128145,6.712480937566927,10.76247454884254,9.549613891304308,0.4001303568553427,
Bois-Colombes,count,614.0,614.0,614.0,614.0,614.0,614
Bois-Colombes,mean,5.429967426710098,14.216612377850163,19.64657980456026,9.503257328990228,1.0,2023-05-31 14:28:25.338762240
Bois-Colombes,min,0.0,7.0,10.0,0.0,1.0,2023-05-28 10:50:33
Bois-Colombes,25%,3.0,10.0,16.0,7.0,1.0,2023-05-29 13:23:03.500000
Bois-Colombes,50%,5.0,14.0,20.0,9.0,1.0,2023-05-31 09:12:49.500000
Bois-Colombes,75%,7.0,18.0,22.0,13.0,1.0,2023-06-02 21:05:48.249999872
Bois-Colombes,max,17.0,23.0,30.0,20.0,1.0,2023-06-03 21:35:37
Bois-Colombes,std,3.669567229673973,4.474723382912319,4.40641454005874,4.518855455240191,0.0,
Boulogne-Billancourt,count,8903.0,8903.0,8903.0,8903.0,8903.0,8903
Boulogne-Billancourt,mean,4.552173424688307,13.766483207907447,18.318656632595754,10.337077389643941,1.0,2023-05-31 14:28:24.971357952
Boulogne-Billancourt,min,0.0,0.0,0.0,0.0,1.0,2023-05-28 10:50:33
Boulogne-Billancourt,25%,1.0,7.0,11.0,3.0,1.0,2023-05-29 13:20:33
Boulogne-Billancourt,50%,3.0,13.0,18.0,9.0,1.0,2023-05-31 09:12:49
Boulogne-Billancourt,75%,6.0,18.0,23.0,15.0,1.0,2023-06-02 21:08:19
Boulogne-Billancourt,max,41.0,55.0,77.0,52.0,1.0,2023-06-03 21:35:37
Boulogne-Billancourt,std,4.690553653828772,9.153963521080646,10.562461833896027,9.040172398920863,0.0,
Bourg-la-Reine,count,921.0,921.0,921.0,921.0,921.0,921
Bourg-la-Reine,mean,3.219326818675353,7.651465798045603,10.870792616720955,6.517915309446254,0.6666666666666666,2023-05-31 14:28:25.104234496
Bourg-la-Reine,min,0.0,0.0,0.0,0.0,0.0,2023-05-28 10:50:33
Bourg-la-Reine,25%,0.0,0.0,0.0,0.0,0.0,2023-05-29 13:20:33
Bourg-la-Reine,50%,2.0,9.0,12.0,7.0,1.0,2023-05-31 09:12:49
Bourg-la-Reine,75%,3.0,12.0,18.0,11.0,1.0,2023-06-02 21:08:19
Bourg-la-Reine,max,16.0,26.0,29.0,22.0,1.0,2023-06-03 21:35:37
Bourg-la-Reine,std,4.413873383094094,6.537610296781153,9.221054848727979,6.23977027146399,0.4716606493189166,
Cachan,count,1228.0,1228.0,1228.0,1228.0,1228.0,1228
Cachan,mean,2.3452768729641695,4.28257328990228,6.62785016286645,14.32084690553746,1.0,2023-05-31 14:28:24.985341952
Cachan,min,0.0,0.0,0.0,2.0,1.0,2023-05-28 10:50:33
Cachan,25%,1.0,1.0,3.0,11.0,1.0,2023-05-29 13:20:33
Cachan,50%,2.0,4.0,6.0,15.0,1.0,2023-05-31 09:12:49
Cachan,75%,3.0,7.0,10.0,18.0,1.0,2023-06-02 21:08:18.249999872
Cachan,max,12.0,13.0,17.0,22.0,1.0,2023-06-03 21:35:37
Cachan,std,2.2321651397180378,3.625157396847539,4.160093676891594,4.437337535092509,0.0,
Champigny-sur-Marne,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Champigny-sur-Marne,mean,8.9185667752443,8.866449511400651,17.78501628664495,11.374592833876221,1.0,2023-05-31 14:28:25.037133312
Champigny-sur-Marne,min,0.0,1.0,4.0,0.0,1.0,2023-05-28 10:50:33
Champigny-sur-Marne,25%,4.0,3.0,15.0,3.0,1.0,2023-05-29 13:20:33
Champigny-sur-Marne,50%,6.0,6.0,20.0,6.0,1.0,2023-05-31 09:12:49
Champigny-sur-Marne,75%,13.0,17.0,23.0,16.0,1.0,2023-06-02 21:08:18.500000
Champigny-sur-Marne,max,22.0,24.0,28.0,32.0,1.0,2023-06-03 21:35:37
Champigny-sur-Marne,std,5.782612342744179,7.005940027207063,7.112481242352172,10.632279977650885,0.0,
Charenton-le-Pont,count,1535.0,1535.0,1535.0,1535.0,1535.0,1535
Charenton-le-Pont,mean,4.435179153094462,12.94071661237785,17.37589576547231,10.272964169381108,1.0,2023-05-31 14:28:25.099023104
Charenton-le-Pont,min,0.0,1.0,1.0,0.0,1.0,2023-05-28 10:50:33
Charenton-le-Pont,25%,2.0,7.0,12.0,5.0,1.0,2023-05-29 13:20:33
Charenton-le-Pont,50%,4.0,12.0,17.0,9.0,1.0,2023-05-31 09:12:49
Charenton-le-Pont,75%,6.0,18.0,24.0,14.0,1.0,2023-06-02 21:08:18.500000
Charenton-le-Pont,max,16.0,28.0,32.0,34.0,1.0,2023-06-03 21:35:37
Charenton-le-Pont,std,3.1431824700839575,6.151372008146778,7.366548840157202,7.641265348306288,0.0,
Chaville,count,921.0,921.0,921.0,921.0,921.0,921
Chaville,mean,3.1509229098805647,1.3387622149837133,4.489685124864278,15.899022801302932,1.0,2023-05-31 14:28:25.052116992
Chaville,min,0.0,0.0,0.0,7.0,1.0,2023-05-28 10:50:33
Chaville,25%,1.0,0.0,2.0,14.0,1.0,2023-05-29 13:20:33
