,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,Lucien Sampaix - Récollets,252.0,5.623015873015873,3.247546734471381,2.0,4.0,5.0,7.0,22.0,252.0,3.126984126984127,2.831198208983579,0.0,1.0,2.0,4.0,17.0,252.0,8.75,5.258743430717981,2.0,5.0,7.0,11.0,31.0,252.0,35.507936507936506,5.450605480816464,13.0,33.0,37.0,39.0,43.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10016,Récollets - Square Villemin,252.0,1.1507936507936507,1.2533140788956028,0.0,0.0,1.0,2.0,5.0,252.0,2.2103174603174605,2.6614057144496175,0.0,0.0,1.0,3.0,11.0,252.0,3.361111111111111,3.2579286608088704,0.0,1.0,3.0,5.0,14.0,252.0,12.984126984126984,3.4224106202982587,3.0,11.0,14.0,16.0,17.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10017,Gare de l'Est - Fidélité,252.0,2.8293650793650795,2.19893373147739,0.0,1.0,2.0,4.0,11.0,252.0,3.007936507936508,2.242281250670414,0.0,1.0,3.0,5.0,9.0,252.0,5.837301587301587,3.144798630534397,0.0,3.0,5.0,8.0,13.0,252.0,7.369047619047619,3.5056463115192344,1.0,5.0,7.0,10.0,14.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10018,Square Alban Satragne,252.0,2.496031746031746,1.980981317193036,0.0,1.0,2.0,4.0,8.0,252.0,2.9444444444444446,2.9043326764862982,0.0,1.0,2.0,5.0,12.0,252.0,5.440476190476191,3.8725240864619113,0.0,2.0,5.0,8.0,16.0,252.0,20.16269841269841,4.102437991053091,10.0,18.0,21.0,24.0,26.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10019,Paradis - Hauteville,252.0,3.0674603174603177,2.9157172479738445,0.0,1.0,2.0,4.0,12.0,252.0,5.432539682539683,4.993961762176835,0.0,1.75,4.0,8.0,19.0,252.0,8.5,7.578802478752972,0.0,3.0,6.0,11.25,31.0,252.0,21.80952380952381,7.310107923963135,0.0,19.0,24.0,27.0,30.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1002,Victoria - Place du Chatelet,252.0,6.2976190476190474,3.523782924827954,0.0,4.0,6.0,9.0,17.0,252.0,9.380952380952381,4.2713856468758395,1.0,6.0,8.0,13.0,19.0,252.0,15.678571428571429,4.457396505632346,1.0,13.0,17.0,19.0,22.0,252.0,4.936507936507937,4.248732703945754,0.0,2.0,3.0,8.0,18.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10020,Chabrol - d'Hauteville,252.0,1.6547619047619047,1.1958831868001396,0.0,1.0,2.0,2.0,5.0,252.0,2.4087301587301586,1.7547894547441438,0.0,1.0,2.0,3.0,7.0,252.0,4.063492063492063,1.9259024138067022,1.0,3.0,4.0,5.25,9.0,252.0,5.138888888888889,2.0317586918793893,0.0,4.0,6.0,7.0,8.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10021,Marché Saint-Quentin,252.0,1.3055555555555556,1.4413807875056914,0.0,0.0,1.0,2.0,7.0,252.0,0.7619047619047619,1.207074573814784,0.0,0.0,0.0,1.0,5.0,252.0,2.0674603174603177,1.9514558612735016,0.0,1.0,2.0,3.0,7.0,252.0,11.357142857142858,1.9205920639023977,6.0,10.75,12.0,13.0,14.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10023,Gare de l'Est - Verdun,252.0,0.12301587301587301,0.32910907101375625,0.0,0.0,0.0,0.0,1.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.12301587301587301,0.32910907101375625,0.0,0.0,0.0,0.0,1.0,252.0,13.876984126984127,0.3291090710137562,13.0,14.0,14.0,14.0,14.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10024,Buisson Saint-Louis - Saint-Maur,252.0,1.6349206349206349,1.8167137907937378,0.0,0.0,1.0,2.0,8.0,252.0,1.8055555555555556,1.070190477558021,1.0,1.0,2.0,2.0,7.0,252.0,3.4404761904761907,2.3363634551691588,1.0,2.0,3.0,5.0,15.0,252.0,13.658730158730158,2.6545089008298377,1.0,12.0,14.0,15.0,18.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10025,Jemmapes - Ecluses Saint-Martin,252.0,2.5833333333333335,2.506763758680237,0.0,0.75,2.0,4.0,12.0,252.0,2.4484126984126986,1.9106843281687902,0.0,1.0,2.0,4.0,9.0,252.0,5.031746031746032,3.4582000429178152,0.0,2.0,4.0,7.0,15.0,252.0,8.924603174603174,3.3976599987933223,0.0,7.0,9.5,12.0,14.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10026,Gare de l'Est - Chateau Landon,252.0,3.4007936507936507,2.8203301785103285,0.0,2.0,3.0,4.0,15.0,252.0,2.7063492063492065,2.6691910836273416,0.0,1.0,2.0,4.0,13.0,252.0,6.107142857142857,4.626317898958058,0.0,3.0,4.5,8.0,19.0,252.0,50.63492063492063,4.80886163170446,37.0,49.0,52.0,54.0,57.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10027,Dunkerque - Alsace,252.0,1.3492063492063493,1.5554426244793398,0.0,0.0,1.0,2.0,7.0,252.0,1.619047619047619,1.4357814638955406,0.0,0.0,2.0,3.0,4.0,252.0,2.9682539682539684,2.4799964912470616,0.0,1.0,2.0,5.0,10.0,252.0,15.678571428571429,2.590946761777955,8.0,14.0,16.5,18.0,19.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10028,Gare du Nord - Dunkerque,252.0,3.3055555555555554,3.8494953475961275,0.0,1.0,2.0,4.0,17.0,252.0,1.4126984126984128,2.0346396306498646,0.0,0.0,0.0,2.0,8.0,252.0,4.718253968253968,5.426435232237225,0.0,1.0,3.0,6.0,24.0,252.0,23.503968253968253,5.907317371942422,2.0,22.0,26.0,27.0,29.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10029,Dunkerque - Rocroy,252.0,1.376984126984127,1.1241402344366624,0.0,0.75,1.0,2.0,5.0,252.0,0.6190476190476191,0.8454909025230778,0.0,0.0,0.0,1.0,4.0,252.0,1.996031746031746,1.5318608735913217,0.0,1.0,2.0,3.0,8.0,252.0,20.78968253968254,1.5146734814444773,15.0,20.0,21.0,22.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
1003,Saint-Denis - Rivoli,252.0,12.698412698412698,9.567766137655019,0.0,4.0,12.0,19.0,40.0,252.0,24.567460317460316,11.987685111026574,1.0,16.0,23.0,32.0,49.0,252.0,37.26587301587302,17.759480550793427,3.0,20.0,40.0,50.0,72.0,252.0,12.936507936507937,12.235567012096599,1.0,3.0,5.5,24.25,38.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10031,Louis Blanc - Aqueduc,252.0,2.865079365079365,2.981625468083324,0.0,1.0,2.0,4.0,17.0,252.0,3.0396825396825395,2.64319254521655,1.0,1.0,2.0,4.0,16.0,252.0,5.904761904761905,4.9361316393117685,1.0,3.0,4.0,8.0,32.0,252.0,28.857142857142858,5.597686325850895,0.0,27.0,30.5,33.0,35.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10032,Claude Vellefaux - Hôpital Saint-Louis,252.0,2.003968253968254,2.120847037942794,0.0,1.0,1.0,3.0,11.0,252.0,1.746031746031746,2.209853009971795,0.0,0.0,1.0,2.0,13.0,252.0,3.75,3.4185164881977212,0.0,1.0,3.0,5.0,17.0,252.0,27.53968253968254,3.3079664644450566,15.0,27.0,28.0,30.0,32.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
