,,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_electric_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_mechanical_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_bikes,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,available_docks,status,status,status,status,status,status,status,status
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
station_id,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16008,Galilée - Kléber,252.0,7.186507936507937,7.534841812763095,0.0,1.0,4.0,12.0,27.0,252.0,3.5912698412698414,3.942262982717358,0.0,0.0,2.0,6.0,15.0,252.0,10.777777777777779,9.923121929459224,0.0,2.0,6.0,20.0,31.0,252.0,20.813492063492063,9.706085930568008,1.0,11.0,26.0,29.0,32.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16009,Saint-Didier - Raymond Poincaré,252.0,3.0436507936507935,3.1964371608069215,0.0,1.0,2.0,5.0,12.0,252.0,1.126984126984127,1.2205682628223606,0.0,0.0,1.0,2.0,5.0,252.0,4.170634920634921,3.7616552993709633,0.0,1.0,3.0,7.0,14.0,252.0,12.55952380952381,3.777743135608089,3.0,10.0,14.0,15.0,17.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16010,Belles Feuilles - Place de Mexico,252.0,2.6865079365079363,3.4607843611469162,0.0,1.0,1.0,3.0,16.0,252.0,0.46825396825396826,1.0385901256931809,0.0,0.0,0.0,0.0,6.0,252.0,3.1547619047619047,3.5722281404339102,0.0,1.0,2.0,4.0,16.0,252.0,19.642857142857142,3.524449120785905,7.0,19.0,21.0,22.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16011,Victor Hugo - La Pompe,252.0,4.900793650793651,5.4086104589527055,0.0,1.0,3.0,6.0,25.0,252.0,1.3650793650793651,1.3543683175166283,0.0,0.0,1.0,2.0,7.0,252.0,6.265873015873016,5.964431929261233,0.0,2.0,4.0,8.0,29.0,252.0,23.416666666666668,5.67697874308178,2.0,22.0,25.0,27.0,30.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16012,Flandrin - Longchamp,252.0,7.563492063492063,6.845472557085978,0.0,2.0,5.0,14.0,25.0,252.0,5.718253968253968,5.534029472110838,0.0,1.0,3.0,11.0,18.0,252.0,13.281746031746032,11.720346328277381,0.0,4.0,8.0,23.0,39.0,252.0,28.563492063492063,11.86745929621615,3.0,19.0,34.0,38.0,42.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16013,Mairie du 16ème,252.0,1.7301587301587302,1.4878669906532882,0.0,1.0,1.0,2.0,9.0,252.0,0.8174603174603174,1.1177723552940733,0.0,0.0,0.0,1.0,5.0,252.0,2.5476190476190474,1.9335871453646483,0.0,1.0,2.0,3.0,9.0,252.0,31.297619047619047,1.9966890636368244,24.0,31.0,32.0,33.0,34.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16014,Eylau - Trocadéro,252.0,5.242063492063492,5.146551131944734,0.0,1.75,4.0,7.0,22.0,252.0,1.9761904761904763,2.1235326716109117,0.0,0.0,1.0,3.0,10.0,252.0,7.218253968253968,5.9469755384367495,0.0,2.75,6.0,10.0,24.0,252.0,16.333333333333332,5.986705057892798,0.0,13.75,18.0,21.0,24.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16015,Bassano -  Iéna,252.0,4.48015873015873,3.926060033298386,1.0,1.0,2.0,8.0,13.0,252.0,2.9007936507936507,3.3187382047988354,0.0,0.0,1.0,5.0,10.0,252.0,7.380952380952381,4.8167323615851565,1.0,2.0,9.0,12.0,14.0,252.0,7.182539682539683,4.708897729522726,1.0,2.75,6.0,12.0,14.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16016,Paul Doumer - La Tour,252.0,1.996031746031746,1.907205911648352,0.0,0.0,1.0,3.0,7.0,252.0,1.1746031746031746,1.2179230251902977,0.0,0.0,1.0,2.0,5.0,252.0,3.1706349206349205,2.4131633521570848,0.0,1.0,3.0,5.0,9.0,252.0,30.75,2.474773119304449,25.0,29.0,31.0,33.0,34.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16017,Siam - La Pompe,252.0,1.4444444444444444,1.5463905051799967,0.0,0.0,1.0,2.0,9.0,252.0,0.4722222222222222,0.7163585303784956,0.0,0.0,0.0,1.0,3.0,252.0,1.9166666666666667,1.7642419904301148,0.0,1.0,1.0,3.0,9.0,252.0,14.055555555555555,1.7754660711513612,7.0,13.0,15.0,15.0,16.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16018,Flandrin - Henri Martin,252.0,1.7817460317460319,1.6711711089778327,0.0,1.0,1.0,3.0,7.0,252.0,1.257936507936508,1.6169349379496567,0.0,0.0,1.0,2.0,7.0,252.0,3.0396825396825395,2.9223709024773212,0.0,1.0,2.0,4.0,14.0,252.0,14.23015873015873,2.750335577968155,4.0,13.0,15.0,16.0,18.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16019,Porte de la Muette,252.0,6.444444444444445,6.624300977095492,0.0,1.75,3.0,13.0,21.0,252.0,3.4007936507936507,3.867589220633587,0.0,0.0,1.0,7.0,12.0,252.0,9.845238095238095,10.066504808849535,0.0,2.0,4.5,22.0,29.0,252.0,25.73015873015873,9.834821215519794,7.0,14.0,30.5,33.0,36.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16020,Place de la Porte de Passy,252.0,3.5833333333333335,3.1491793656905025,0.0,1.0,3.0,5.0,14.0,252.0,2.4365079365079363,2.043339317312182,0.0,1.0,2.0,4.0,10.0,252.0,6.01984126984127,3.7739412613376837,0.0,3.0,6.0,9.0,18.0,252.0,29.38095238095238,3.8047090613538495,17.0,27.0,30.0,32.0,36.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16021,François Ponsard - La Muette,252.0,1.8531746031746033,2.0015606065824114,0.0,0.0,1.0,3.0,10.0,252.0,0.8531746031746031,1.1353912927792627,0.0,0.0,0.5,1.0,6.0,252.0,2.7063492063492065,2.2229066801475916,0.0,1.0,2.0,4.0,11.0,252.0,20.03968253968254,2.178858188682125,12.0,19.0,21.0,21.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16022,Jean Bologne - Passy,252.0,1.6428571428571428,1.5303791458681535,0.0,0.0,1.0,3.0,7.0,252.0,0.4722222222222222,0.7954190445272451,0.0,0.0,0.0,1.0,4.0,252.0,2.115079365079365,1.88901489790651,0.0,1.0,2.0,3.0,10.0,252.0,16.884920634920636,1.88901489790651,9.0,16.0,17.0,18.0,19.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16023,Passy - Place du Costa Rica,252.0,4.007936507936508,3.312408234906711,0.0,1.0,3.0,6.0,15.0,252.0,2.3412698412698414,2.5315938270942375,0.0,0.0,1.0,4.0,9.0,252.0,6.349206349206349,4.914110847690131,0.0,3.0,5.0,10.0,22.0,252.0,24.404761904761905,4.380650266322776,9.0,22.0,25.0,28.0,30.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16024,Ranelagh - Maison de la Radio,252.0,2.5396825396825395,2.0025911249075445,0.0,1.0,2.0,3.0,9.0,252.0,10.325396825396826,4.813376721121267,0.0,6.0,11.5,14.0,19.0,252.0,12.865079365079366,5.327300467644053,0.0,9.0,14.0,17.0,21.0,252.0,6.928571428571429,4.8477679119307435,0.0,3.0,5.0,11.0,19.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16025,Jean de la Fontaine - Boulainvilliers,252.0,3.4365079365079363,2.2827816670411103,0.0,1.0,3.0,5.0,8.0,252.0,14.424603174603174,7.946927407519731,0.0,7.75,14.0,22.0,30.0,252.0,17.86111111111111,8.864661677072606,2.0,9.0,19.0,24.0,36.0,252.0,49.3531746031746,8.725464738434464,31.0,43.0,49.0,58.0,65.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16026,Ranelagh - Mozart,252.0,2.2698412698412698,2.569861169185531,0.0,1.0,1.0,3.0,12.0,252.0,1.496031746031746,1.4572200130106818,0.0,0.0,1.0,2.0,6.0,252.0,3.765873015873016,2.9125272140626275,0.0,1.0,3.0,6.0,13.0,252.0,18.97222222222222,2.8916734120116816,10.0,17.0,19.0,21.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16027,Mozart - Jasmin,252.0,2.361111111111111,3.092297904509625,0.0,0.75,2.0,3.0,14.0,252.0,5.7023809523809526,6.143917593209214,0.0,1.0,3.0,11.0,21.0,252.0,8.063492063492063,7.523928396381839,0.0,2.0,6.0,15.0,27.0,252.0,52.654761904761905,7.5961209134092,34.0,45.0,55.0,59.0,61.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16029,Maison de Radio - France,252.0,3.507936507936508,2.8093356936787384,0.0,2.0,3.0,5.0,13.0,252.0,17.58730158730159,9.27470951104456,2.0,10.0,17.0,24.0,40.0,252.0,21.095238095238095,10.627655850063437,3.0,14.0,20.0,26.0,46.0,252.0,23.857142857142858,10.471904575086127,0.0,20.0,26.0,30.0,43.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16030,Place de Barcelone - Mirabeau,252.0,3.1031746031746033,2.1986209552468203,0.0,2.0,3.0,4.0,11.0,252.0,26.92063492063492,11.455858936707445,7.0,17.0,24.0,36.0,48.0,252.0,30.023809523809526,11.005586618810105,8.0,21.0,28.0,40.0,48.0,252.0,22.853174603174605,11.001913535177765,4.0,14.0,24.0,32.0,43.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16031,Vignes - Boulainvilliers,252.0,1.4444444444444444,1.386075060232488,0.0,0.0,1.0,2.0,6.0,252.0,0.7420634920634921,1.1676825671499957,0.0,0.0,0.0,1.0,6.0,252.0,2.1865079365079363,2.0610542760976545,0.0,1.0,2.0,3.0,8.0,252.0,18.142857142857142,2.4256737207280885,11.0,17.0,19.0,20.0,21.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16032,Eglise d'Auteuil,252.0,1.6825396825396826,1.8836718979525477,0.0,0.0,1.0,2.0,11.0,252.0,4.551587301587301,4.220198709979261,0.0,2.0,3.0,6.0,17.0,252.0,6.234126984126984,4.690919645789407,0.0,3.0,5.0,9.0,18.0,252.0,13.75,4.681594886071502,2.0,11.0,15.0,17.0,20.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16033,Marché d'Auteuil,252.0,4.884920634920635,3.9071202233731213,0.0,1.0,4.0,8.0,16.0,252.0,5.888888888888889,3.7718230286847616,0.0,3.0,5.0,8.0,16.0,252.0,10.773809523809524,5.647023382199876,1.0,6.0,10.0,15.0,24.0,252.0,20.77777777777778,5.75653294406259,7.0,17.0,21.0,25.0,31.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16034,Porte d'Auteuil,252.0,6.912698412698413,6.130090165614468,0.0,2.0,5.0,10.0,24.0,252.0,6.2976190476190474,4.7932050890413445,0.0,2.0,5.0,9.0,18.0,252.0,13.21031746031746,9.50568149978272,0.0,5.0,11.5,19.0,32.0,252.0,19.063492063492063,9.369566765993339,1.0,13.0,21.0,26.0,32.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16036,Porte Molitor,252.0,10.126984126984127,8.15534838023087,0.0,3.0,8.0,17.0,27.0,252.0,22.952380952380953,12.533529305757463,0.0,17.75,27.0,31.0,43.0,252.0,33.07936507936508,18.457058237933175,0.0,17.75,37.0,48.0,59.0,252.0,25.464285714285715,18.21219312362532,1.0,11.0,22.0,39.25,59.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16037,Molitor - Michel-Ange,252.0,6.718253968253968,6.20339067795755,1.0,2.0,4.0,9.0,26.0,252.0,10.214285714285714,7.598602453656817,0.0,4.0,9.0,14.0,32.0,252.0,16.932539682539684,11.587163727393817,1.0,8.0,14.0,20.25,48.0,252.0,33.71031746031746,11.414650049624436,3.0,31.0,36.0,42.0,50.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16038,Molitor - Chardon-Lagache,252.0,4.440476190476191,3.732119199136373,0.0,1.0,3.0,7.0,13.0,252.0,5.623015873015873,5.326467965527892,0.0,2.0,3.0,8.0,18.0,252.0,10.063492063492063,6.759082461772187,0.0,4.75,9.0,14.0,30.0,252.0,22.333333333333332,6.8361588431723606,3.0,19.0,23.0,28.0,33.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16039,Exelmans - Versailles,252.0,2.638888888888889,1.827347465730998,0.0,1.0,2.0,4.0,8.0,252.0,10.365079365079366,5.931351202323932,2.0,5.0,10.0,14.0,29.0,252.0,13.003968253968255,6.46935652377093,2.0,7.0,13.0,17.0,31.0,252.0,33.73809523809524,6.664024329323078,15.0,29.0,34.0,40.0,45.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16040,Exelmans - Michel-Ange,252.0,3.642857142857143,2.3241818531008795,0.0,2.0,3.0,5.0,10.0,252.0,13.404761904761905,6.475425284288864,1.0,7.75,13.5,19.0,28.0,252.0,17.047619047619047,7.400179972891844,3.0,10.0,16.0,23.0,33.0,252.0,15.5,6.979480454185581,0.0,10.0,16.5,22.0,28.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16041,Versailles - Claude Terrasse,252.0,2.7857142857142856,1.9170326624236451,0.0,1.0,3.0,4.0,10.0,252.0,10.623015873015873,6.008356235538428,1.0,6.0,9.0,16.0,25.0,252.0,13.408730158730158,6.269797582673017,1.0,8.0,13.0,18.0,28.0,252.0,30.626984126984127,5.945615582354236,17.0,26.0,31.0,36.0,42.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16042,Murat - Porte de Saint-Cloud,252.0,5.0436507936507935,3.106682067929479,0.0,3.0,4.0,7.0,16.0,252.0,11.488095238095237,5.130552297302477,1.0,7.0,12.0,15.0,23.0,252.0,16.53174603174603,6.714658411019686,2.0,11.0,17.0,21.0,33.0,252.0,20.50793650793651,6.353147767972168,5.0,16.0,20.0,25.25,35.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16043,Place de Passy,252.0,2.2777777777777777,1.855921454276674,0.0,1.0,2.0,3.25,8.0,252.0,0.6746031746031746,1.073619674024295,0.0,0.0,0.0,1.0,7.0,252.0,2.9523809523809526,2.320383066524283,0.0,1.0,2.0,4.0,12.0,252.0,11.841269841269842,2.330852137706673,3.0,11.0,12.0,14.0,15.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16044,Porte de Saint Cloud - Parc des Princes,252.0,5.063492063492063,2.5318561030654934,0.0,3.0,5.0,7.0,12.0,252.0,13.297619047619047,4.967094339852055,4.0,9.0,14.0,17.0,23.0,252.0,18.36111111111111,5.485271437638911,7.0,13.0,19.0,23.0,30.0,252.0,12.313492063492063,5.174344513401002,1.0,8.0,12.0,17.0,24.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16101,Malakoff - Place de la Porte Maillot,252.0,3.492063492063492,2.6652434069449367,0.0,1.0,3.0,5.0,10.0,252.0,2.765873015873016,2.4226574161284837,0.0,1.0,3.0,4.0,8.0,252.0,6.257936507936508,4.591796828636324,0.0,2.0,5.0,11.0,14.0,252.0,10.40079365079365,4.6204636809061785,2.0,6.0,11.0,14.0,17.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16102,Pergolèse - Marbeau,252.0,2.0317460317460316,1.6553017944956998,0.0,1.0,2.0,3.0,8.0,252.0,2.6031746031746033,2.1463556255626193,0.0,1.0,2.0,4.0,9.0,252.0,4.634920634920635,3.233547198312703,0.0,2.0,4.0,7.0,15.0,252.0,15.714285714285714,3.010888984305307,6.0,13.0,16.0,18.0,20.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16103,Traktir - Foch,252.0,3.607142857142857,4.557777444161413,0.0,0.0,2.0,5.0,17.0,252.0,2.388888888888889,1.8161393413301323,0.0,1.0,2.0,4.0,8.0,252.0,5.996031746031746,5.834707266985931,0.0,1.0,4.0,8.0,22.0,252.0,15.761904761904763,5.841094384481683,0.0,14.0,18.0,20.0,21.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16104,Paul Valery - Victor Hugo,252.0,3.9285714285714284,4.486684276797122,0.0,1.0,2.0,5.0,15.0,252.0,0.9365079365079365,1.3756333231560647,0.0,0.0,0.0,2.0,4.0,252.0,4.865079365079365,5.318318601088137,0.0,1.0,2.0,8.0,17.0,252.0,28.833333333333332,5.417619182774086,16.0,26.0,31.0,33.0,35.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16105,Crevaux - Bugeaud,252.0,2.3452380952380953,2.094352380874823,0.0,1.0,2.0,4.0,9.0,252.0,0.6746031746031746,0.9886153952226097,0.0,0.0,0.0,1.0,4.0,252.0,3.0198412698412698,2.5970415237149322,0.0,1.0,2.0,5.0,11.0,252.0,27.793650793650794,2.624789759192063,20.0,26.0,28.0,30.0,31.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16107,Benjamin Godard - Victor Hugo,254.0,1.4291338582677164,1.595726022637782,0.0,0.0,1.0,2.0,7.0,254.0,2.468503937007874,3.379342050408678,0.0,0.0,1.0,3.0,15.0,254.0,3.8976377952755907,4.345429920773367,0.0,1.0,3.0,5.0,21.0,254.0,30.405511811023622,4.296902222455861,14.0,29.0,31.5,33.0,35.0,254.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16108,Sablons - Georges Mandel,252.0,2.2896825396825395,3.0164576297182024,0.0,1.0,2.0,3.0,23.0,252.0,2.357142857142857,4.324422050073273,0.0,0.0,1.0,1.0,16.0,252.0,4.646825396825397,4.853867501527037,0.0,1.0,3.0,6.0,23.0,252.0,33.26984126984127,4.9690880281273015,15.0,32.0,35.0,37.0,38.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16110,Octave Feuillet - Albéric Magnard,252.0,2.388888888888889,2.4248784328085304,0.0,0.0,2.0,4.0,10.0,252.0,1.380952380952381,1.688287011612648,0.0,0.0,1.0,2.0,7.0,252.0,3.7698412698412698,3.779084183441937,0.0,1.0,2.0,6.0,17.0,252.0,16.67063492063492,3.874352637565398,3.0,14.75,18.0,20.0,21.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16111,Faustin Hélie - Desbordes-Valmore,252.0,1.5595238095238095,1.4696222010344964,0.0,1.0,1.0,2.0,6.0,252.0,1.1587301587301588,1.7893563062287545,0.0,0.0,0.0,1.0,7.0,252.0,2.7182539682539684,2.636697825933604,0.0,1.0,2.0,4.0,13.0,252.0,28.28968253968254,2.7337736965442163,18.0,27.0,29.0,30.0,32.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16112,Chernoviz - Raynouard,252.0,1.8055555555555556,2.0330655343644994,0.0,0.0,1.0,3.0,9.0,252.0,1.6428571428571428,2.368331184827087,0.0,0.0,1.0,2.25,10.0,252.0,3.4484126984126986,3.6512997004228818,0.0,1.0,2.0,5.0,18.0,252.0,32.214285714285715,3.7957979342797947,17.0,31.0,33.0,35.0,36.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16115,Raffet - Montmorency,252.0,4.555555555555555,2.6026512855226605,1.0,3.0,4.0,6.0,13.0,252.0,2.2857142857142856,2.4310643738402455,0.0,1.0,2.0,3.0,10.0,252.0,6.841269841269841,3.7136824615068478,1.0,4.0,6.0,9.0,17.0,252.0,34.73015873015873,3.9132275394488842,24.0,33.0,36.0,37.25,41.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16116,George Sand - Jean de La Fontaine,252.0,1.9642857142857142,1.6100760559954692,0.0,1.0,2.0,3.0,9.0,252.0,6.869047619047619,5.385045905847225,0.0,2.0,6.0,9.0,21.0,252.0,8.833333333333334,5.631796469520501,1.0,4.0,8.0,13.0,22.0,252.0,17.976190476190474,5.803508055343323,5.0,14.0,19.0,22.25,27.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16118,Michel-Ange - Parent de Rosan,252.0,3.373015873015873,1.743441332830544,1.0,2.0,3.0,5.0,8.0,252.0,2.380952380952381,2.3014187304839155,0.0,1.0,2.0,3.0,11.0,252.0,5.753968253968254,3.3889591250381597,1.0,3.0,5.0,7.0,16.0,252.0,19.035714285714285,3.4529729505060676,8.0,17.75,20.0,21.0,24.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16121,Jardin d'Acclimatation,252.0,4.111111111111111,4.120152053478177,0.0,1.0,3.0,6.0,15.0,252.0,5.198412698412699,4.849972014984512,0.0,2.0,4.0,7.0,20.0,252.0,9.30952380952381,8.358943761516512,0.0,2.0,8.0,14.0,31.0,252.0,23.61111111111111,8.297719383522487,2.0,19.0,25.0,30.0,33.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16122,Route de la Muette - Porte de Neuilly,252.0,5.130952380952381,3.767484377086112,0.0,2.0,4.0,8.0,15.0,252.0,8.126984126984127,3.7170526107792483,2.0,5.0,8.0,11.0,17.0,252.0,13.257936507936508,5.619485921314963,3.0,9.0,14.0,17.0,30.0,252.0,34.40079365079365,5.0053834927447465,19.0,31.0,34.0,38.0,44.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16123,Mahatma Gandhi,252.0,4.321428571428571,3.023786369244663,0.0,2.0,4.0,6.0,12.0,252.0,7.821428571428571,5.443283915406421,0.0,2.0,8.5,12.0,22.0,252.0,12.142857142857142,7.502152982573258,0.0,6.0,12.0,18.25,26.0,252.0,13.158730158730158,7.351626861082167,0.0,7.0,13.0,19.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16124,Route de Sèvres - Porte de Bagatelle,252.0,6.023809523809524,3.640113578444041,0.0,3.0,6.0,8.0,15.0,252.0,18.75,14.865834247981047,0.0,3.0,20.0,30.25,46.0,252.0,24.773809523809526,16.566190686935997,0.0,10.0,25.0,36.25,59.0,252.0,39.476190476190474,16.39075353258552,5.0,28.75,40.0,52.5,64.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16129,Ceinture du Lac Inferieure - Saint-Cloud,252.0,6.484126984126984,7.182020631434072,1.0,2.75,4.0,6.0,28.0,252.0,6.2063492063492065,4.769286632730183,0.0,2.0,5.0,11.0,16.0,252.0,12.69047619047619,9.67393860940591,2.0,6.0,9.5,16.0,41.0,252.0,29.015873015873016,9.513658980798834,1.0,26.0,32.0,35.25,40.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16136,Théophile Gautier - François Millet,252.0,2.6031746031746033,1.6096292170572155,0.0,1.0,2.0,4.0,7.0,252.0,15.920634920634921,4.923483323977533,5.0,12.0,16.0,19.25,25.0,252.0,18.523809523809526,5.196097655744783,5.0,15.0,18.0,22.0,29.0,252.0,10.694444444444445,5.479942500578842,0.0,7.0,11.0,14.0,25.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16138,Saint-Cloud - Hippodrome,252.0,4.873015873015873,4.696330901459354,0.0,1.0,3.0,8.0,22.0,252.0,3.3492063492063493,3.0788248917764833,0.0,1.0,2.0,5.0,13.0,252.0,8.222222222222221,6.861044127256259,0.0,3.0,6.0,11.0,29.0,252.0,21.4484126984127,7.1851799016753715,0.0,18.0,23.5,27.0,30.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16139,Suresnes - Muette à Neuilly,252.0,3.5753968253968256,4.005756545182539,0.0,1.0,2.0,4.0,17.0,252.0,3.6468253968253967,3.3976599987933223,0.0,1.0,2.0,5.25,14.0,252.0,7.222222222222222,6.727346687099492,0.0,3.0,5.0,10.0,28.0,252.0,21.773809523809526,6.713282054825197,1.0,19.0,25.0,26.0,28.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
16140,Hippodrome de Longchamp,252.0,6.238095238095238,3.4696833189101066,0.0,3.0,7.0,8.0,17.0,252.0,8.876984126984127,3.9058575421012574,1.0,6.0,10.0,12.0,15.0,252.0,15.115079365079366,5.861503382753155,4.0,11.0,15.0,21.0,26.0,252.0,12.436507936507937,5.894147318948402,2.0,7.0,12.0,17.0,23.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17001,Guy Môquet - Saint-Ouen,252.0,3.3174603174603177,3.91981541489714,0.0,1.0,2.0,4.0,18.0,252.0,4.309523809523809,5.882602190976324,0.0,0.0,2.0,6.0,23.0,252.0,7.626984126984127,9.447471996425977,0.0,2.0,3.0,9.25,37.0,252.0,43.682539682539684,10.118541061120933,13.0,41.75,48.0,50.0,53.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17003,Jacques Kellner - Saint-Ouen,252.0,3.003968253968254,3.248656499351848,0.0,0.0,2.0,5.0,14.0,252.0,2.738095238095238,2.6784623388903057,0.0,1.0,2.0,3.25,17.0,252.0,5.742063492063492,4.778034955480478,0.0,2.0,4.5,8.0,20.0,252.0,37.388888888888886,4.7670385909749236,24.0,35.0,38.0,41.0,44.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17004,Legendre - Clichy,252.0,3.2777777777777777,2.2033617520011317,1.0,2.0,3.0,4.0,12.0,252.0,1.8253968253968254,2.6677336131530924,0.0,0.0,1.0,2.0,11.0,252.0,5.103174603174603,4.178925241801244,1.0,2.0,4.0,7.0,18.0,252.0,32.62301587301587,4.039243010189481,20.0,31.0,34.0,35.0,38.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17005,Brochant - Clichy,252.0,2.4047619047619047,2.4337552228844777,0.0,1.0,2.0,4.0,12.0,252.0,1.8968253968253967,2.6996513426334725,0.0,0.0,1.0,3.0,12.0,252.0,4.301587301587301,4.271222785571076,0.0,1.0,2.5,7.0,17.0,252.0,46.507936507936506,4.195892568945964,34.0,44.0,48.0,50.0,51.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17006,Guy Môquet - Compoint,252.0,2.7896825396825395,2.512005575306554,0.0,1.0,2.0,4.25,10.0,252.0,2.75,3.8035682554811063,0.0,0.0,1.0,4.0,18.0,252.0,5.5396825396825395,5.664104903775073,0.0,1.0,3.0,8.0,25.0,252.0,29.932539682539684,5.597329035271762,10.0,27.0,33.0,34.0,35.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17007,Navier - Epinettes,252.0,2.142857142857143,2.6651484959391936,0.0,0.0,1.0,3.0,14.0,252.0,1.1388888888888888,1.5718374165603637,0.0,0.0,1.0,2.0,8.0,252.0,3.2817460317460316,3.7750470468802755,0.0,1.0,2.0,5.0,16.0,252.0,32.57539682539682,3.74993623335822,20.0,31.0,34.0,35.0,36.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
17008,Porte Pouchet-Bessières,252.0,2.9404761904761907,1.731023627865218,0.0,2.0,3.0,4.0,8.0,252.0,3.7698412698412698,1.9766070103865205,2.0,2.0,3.0,5.0,9.0,252.0,6.7103174603174605,3.011169892570826,2.0,5.0,6.0,8.25,14.0,252.0,15.484126984126984,2.9772955641388825,9.0,13.0,16.0,18.0,20.0,252.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
